label,pattern_family,main_layer,relation,member_count,signature_contrast
dedupe+python+query:record-linkage-library,record linkage library,problem_lens,adjacent,9,query:record-linkage-library|library|built
dedupe+deduplication+entity-resolution,entity resolution deduplication,problem_lens,adjacent,3,query:entity-resolution-deduplication|entity-resolution|dedupe
levenshtein+linkage+python,matcher,unknown,divergent,4,levenshtein|query:splink-record-linkage|splink
